name,description,address,price,guest
Charmant Appartement au Cœur de la Ville,"Un appartement moderne et confortable situé en plein centre-ville. Proche des attractions touristiques, des restaurants et des transports en commun.",16 rue Cuvier 69006 LYON ,100,2
Vue Imprenable sur la Mer,Profitez d'une vue spectaculaire sur l'océan depuis ce magnifique appartement en bord de mer. Équipé de tout le nécessaire pour un séjour relaxant.,25 rue de Seze 69006 LYON ,150,4
Appartement Cosy en Plein Quartier Historique,Un logement chaleureux et plein de charme situé dans le quartier historique. Idéal pour les amateurs d'architecture et d'histoire.,12 place Marechal Lyautey 69006 LYON ,80,2
Loft Moderne avec Terrasse Privée,Un loft contemporain avec une grande terrasse privée. Parfait pour profiter du soleil et se détendre en plein air.,34 rue Moliere 69006 LYON ,120,3
Appartement Familial Près du Parc,"Un espace spacieux adapté aux familles, à quelques pas d'un parc verdoyant. Parfait pour les vacances en famille.",96 rue Vendome 69006 LYON ,130,5
Studio Élégant en Centre-Ville,"Un studio élégant avec une décoration moderne, à proximité des boutiques, des cafés et des transports en commun.",2 cours Gambetta 69007 LYON ,90,2
Duplex avec Vue Panoramique,Un duplex avec une vue à couper le souffle sur la ville. Deux étages de luxe et de confort.,31 rue Mazenod 69003 LYON ,180,4
Appartement Artistique près des Galeries,"Un logement inspirant pour les amateurs d'art, situé à proximité des galeries et des musées.",155 rue Pierre Corneille 69003 LYON ,110,2
Penthouse de Luxe avec Jacuzzi,Un penthouse somptueux avec un jacuzzi privé. L'ultime expérience de luxe.,26 rue Rabelais 69003 LYON ,250,6
Appartement Vintage au Charme Rétro,Un appartement au style rétro avec des meubles vintage. Un voyage dans le temps confortable.,55 rue Servient 69003 LYON ,95,3
Suite Romantique avec Cheminée,"Une suite romantique avec une cheminée, parfaite pour une escapade en amoureux.",191 rue Vendome 69003 LYON ,150,2
Appartement Écologique avec Toit Vert,Un appartement respectueux de l'environnement avec un toit vert. Pour les amoureux de la nature.,9 montee Nicolas de Lange 69005 LYON ,110,3
Appartement Minimaliste au Design Épuré,Un espace minimaliste avec un design épuré. Parfait pour les amateurs de simplicité.,4 rue Octavio Mey 69005 LYON ,85,2
Appartement Lumineux avec Balcon,Un appartement lumineux et aéré avec un balcon ensoleillé. Idéal pour les journées en plein air.,14 quai Romain Rolland 69005 LYON ,120,3
Loft Industriel dans un Quartier Animé,Un loft industriel au cœur d'un quartier animé avec des restaurants et des bars branchés.,40 montee Saint Barthelemy 69005 LYON ,140,4
Appartement Zen avec Jardin Japonais,Un appartement paisible avec un jardin japonais. Parfait pour se détendre après une journée bien remplie.,41 cours de la Liberte 69003 LYON ,125,3
Appartement au Bord de la Rivière,"Un logement pittoresque au bord de la rivière, offrant une vue magnifique sur l'eau.",12 rue de la Part Dieu 69003 LYON ,110,2
Studio Pratique pour Voyageurs Solo,"Un studio confortable et pratique, idéal pour les voyageurs solo. Proche des transports en commun.",74 avenue Marechal de Saxe 69003 LYON ,70,1
Appartement Familial avec Aire de Jeux,Un appartement familial spacieux avec une aire de jeux pour les enfants. Parfait pour des vacances en famille.,32 rue Edouard Herriot 69001 LYON ,140,5
Appartement Historique avec Charme Ancien,Un logement chargé d'histoire et de charme ancien. Une expérience unique dans un quartier historique.,11 place Antonin Poncet 69002 LYON ,95,3
